#cv2
#width height average min max std sizeavg sizemin sizemas sizestd  quality
1080 720 41.4849308013916 41.09567642211914 41.68203353881836 0.1477170425960301 25518.52 16330.0 30581.0 3501.8644676229264 25
1080 720 41.64825496673584 41.13168716430664 41.9757080078125 0.20515681399988056 29656.45 17520.0 36394.0 4633.020523103692 35
1080 720 41.80544958114624 41.23552322387695 42.1176815032959 0.21777847973854486 33526.95 18778.0 41501.0 5617.524414499682 45
1080 720 41.90445899963379 41.22077941894531 42.25174903869629 0.2571883717399166 37176.7 20088.0 46361.0 6488.265516299407 55
1080 720 42.11324253082275 41.33796691894531 42.495365142822266 0.2897182250350962 43130.94 22775.0 53853.0 7694.736772391893 65
1080 720 42.448165035247804 41.58964157104492 42.94471740722656 0.3198670733141676 52974.37 28788.0 65675.0 9136.645070982018 75
1080 720 43.30220375061035 42.33598709106445 43.78029823303223 0.36408835606598644 77943.18 48305.0 93463.0 11192.597466522238 85
1080 720 46.69931154251098 45.16781806945801 47.31050491333008 0.4689813599802115 170965.22 126925.0 193767.0 16902.80923372207 95



#simplejpeg
#width height average min max std sizeavg sizemin sizemas sizestd  quality
1080 720 33.04713191986084 32.641305923461914 33.25758934020996 0.15627608515058444 35508.67 25662.0 40964.0 3731.8856414820643 25
1080 720 33.210921382904054 32.69105911254883 33.46583366394043 0.19294682123350218 40046.77 26990.0 47280.0 4959.263971306629 35
1080 720 33.46779499053955 32.73887634277344 33.87228012084961 0.27727923959178885 44362.34 28402.0 53081.0 6054.279092047211 45
1080 720 33.69461536407471 32.96011924743652 34.055233001708984 0.2649869848908839 48551.63 29724.0 58661.0 7111.266667275248 55
1080 720 33.935775470733645 33.07599067687988 34.42217826843262 0.31411219216871766 55105.02 32474.0 67070.0 8517.237341978911 65
1080 720 34.37247924804687 33.37273597717285 34.88961219787598 0.39079078841349746 66407.96 38814.0 80793.0 10312.847745332034 75
1080 720 35.40616664886475 34.16770935058594 36.01069450378418 0.4376690204804895 96460.62 61096.0 114818.0 13217.767152420261 85
1080 720 39.59475755691528 37.938995361328125 40.400943756103516 0.6582758705277014 212035.75 153868.0 241843.0 21958.778505360904 95


#pil
#width height average min max std sizeavg sizemin sizemas sizestd  quality
1080 720 47.742459774017334 47.33096122741699 47.93753623962402 0.15154553514698754 25972.5 16314.0 31286.0 3674.9584501052523 25
1080 720 47.87233924865723 47.370309829711914 48.12321662902832 0.1853900568189048 30170.96 17546.0 37148.0 4817.534778120444 35
1080 720 48.00545101165771 47.413530349731445 48.3048152923584 0.21915382821265564 34015.34 18719.0 42304.0 5821.2345567242 45
1080 720 48.11529884338379 47.44956016540527 48.47714424133301 0.25175638849436344 37608.55 19829.0 47090.0 6735.836238174144 55
1080 720 48.31368055343628 47.544145584106445 48.70888710021973 0.292459328055286 43440.58 22190.0 54613.0 8033.486830984414 65
1080 720 48.63288984298706 47.74914741516113 49.156293869018555 0.32699183471513604 53055.49 27650.0 66249.0 9570.844053159575 75
1080 720 49.486993885040285 48.435163497924805 50.01162528991699 0.3985857604314075 77763.68 46847.0 93881.0 11653.619934492459 85
1080 720 52.62680549621582 51.3165283203125 53.66896629333496 0.5445694832869771 170571.44 125428.0 194118.0 17291.308778875013 95


#turbojpeg
#width height average min max std sizeavg sizemin sizemas sizestd  quality
1080 720 28.100138092041014 27.674999237060547 28.367433547973633 0.16259319061674532 28672.45 19480.0 33776.0 3503.182348593918 25
1080 720 28.278274250030517 27.726545333862305 28.610687255859375 0.2014610088753583 32937.16 20629.0 39738.0 4677.739248226647 35
1080 720 28.407655715942383 27.843523025512695 28.722820281982422 0.23139882240097298 37024.32 21982.0 45142.0 5704.0920169296005 45
1080 720 28.57454595565796 27.805709838867188 28.96240234375 0.29007804017311273 40982.41 23383.0 50434.0 6649.573294723504 55
1080 720 28.812165451049804 27.98391342163086 29.23318862915039 0.308635874041221 47262.74 26162.0 58316.0 7911.371685896194 65
1080 720 29.157294750213623 28.192157745361328 29.661989212036133 0.359432741664133 57934.97 32612.0 71165.0 9502.562007642993 75
1080 720 30.084804916381835 28.993206024169922 30.67768096923828 0.41404842552030086 85202.54 53492.0 101652.0 11928.263028136158 85
1080 720 33.86118831634521 32.60026931762695 34.51102256774902 0.452953074902212 190253.05 140521.0 215668.0 18924.63283362454 95
