#cv2
#width height average min max std sizeavg sizemin sizemas sizestd  quality
1080 720 48.05583095550537 48.03309440612793 48.15095901489258 0.015971352563846415 188070.87 187613.0 188665.0 163.03561911435185 25
1080 720 50.214880561828615 50.17723083496094 50.259695053100586 0.017900434758193525 244933.08 244339.0 245513.0 182.01717940897777 35
1080 720 52.527401542663576 52.487831115722656 52.6707649230957 0.02657776990718458 295502.77 295060.0 296171.0 214.09922255814004 45
1080 720 54.23947114944458 54.18927192687988 54.815216064453125 0.05969865897742735 342338.99 341826.0 342836.0 177.78489784005836 55
1080 720 55.57414960861206 55.54038047790527 55.645246505737305 0.01986692204337837 397138.93 396712.0 397497.0 162.3231502281791 65
1080 720 58.26556949615478 58.063249588012695 58.82866859436035 0.17140440372532206 467758.98 467313.0 468118.0 179.8786802264237 75
1080 720 62.97047386169434 62.94367790222167 63.00508499145507 0.013907486548545485 588313.17 587905.0 588744.0 177.50262279752377 85
1080 720 69.97397537231446 69.90241050720215 70.04672050476074 0.03433681935545743 912931.06 912226.0 913762.0 276.532884843738 95



#simplejpeg
#width height average min max std sizeavg sizemin sizemas sizestd  quality
1080 720 43.91857748031616 43.89375686645508 43.944759368896484 0.010893659595895146 350581.84 349723.0 351429.0 347.2382962750508 25
1080 720 49.30802450180054 49.27837371826172 49.34120178222656 0.012116957498472756 505213.78 504449.0 505762.0 280.8002343303865 35
1080 720 55.04239196777344 54.9979305267334 55.19930839538574 0.024187414824244705 614442.11 613904.0 615234.0 240.8452986877676 45
1080 720 59.14659948348999 59.09834861755371 59.20035362243652 0.017529623957365667 709550.07 708947.0 710215.0 250.6780905863135 55
1080 720 64.9777774810791 64.92447853088379 65.0574779510498 0.027610017031290353 823277.94 822529.0 823872.0 258.80370244646815 65
1080 720 70.52906608581543 70.46276092529297 70.72447776794434 0.03122009314501829 974582.91 973972.0 975043.0 226.67091101418373 75
1080 720 80.00611848831177 79.88534927368164 80.09053230285645 0.03914042373834587 1229153.36 1227991.0 1229973.0 297.67843455648585 85
1080 720 91.0012921333313 90.94877243041992 91.05072021484375 0.018913352719866626 1880770.52 1879963.0 1881381.0 338.65098493877144 95


#pil
#width height average min max std sizeavg sizemin sizemas sizestd  quality
1080 720 53.80815725326538 53.636064529418945 54.7542667388916 0.11531691076261429 188094.53 187674.0 188406.0 137.61660183277309 25
1080 720 55.89616422653198 55.7581901550293 56.173505783081055 0.07860400094225826 244938.1 244584.0 245480.0 174.23997819099955 35
1080 720 57.641313552856445 57.462158203125 57.820138931274414 0.09312407184760996 295497.48 295028.0 295977.0 220.77683211786513 45
1080 720 59.5086745262146 59.04897689819336 60.496625900268555 0.386874619245453 342308.8 341753.0 342743.0 210.8198757233293 55
1080 720 61.335905933380126 60.95489501953125 62.83573150634765 0.35694716979478114 397091.44 396705.0 397454.0 155.76875938390214 65
1080 720 64.0015832901001 63.337459564208984 65.14326095581055 0.5971269057602133 467784.51 467410.0 468199.0 179.2082305587553 75
1080 720 68.07958688735962 66.7231273651123 69.10804748535156 0.5439845769452756 588295.0 587922.0 588778.0 182.01873529941912 85
1080 720 74.12741441726685 73.79581451416016 75.49120903015137 0.3742479497479308 912919.44 912029.0 913564.0 279.0275369923191 95


#turbojpeg
#width height average min max std sizeavg sizemin sizemas sizestd  quality
1080 720 35.356765270233154 35.33784866333008 35.382957458496094 0.009894605599346079 216322.08 215827.0 216912.0 222.462207127413 25
1080 720 39.13732643127442 39.106149673461914 39.17025566101074 0.01352035929656249 311732.53 311041.0 312261.0 257.8346933599123 35
1080 720 42.795904064178465 42.71451950073242 42.90823936462402 0.050819288703356856 386463.11 385874.0 386873.0 206.52650653124408 45
1080 720 45.47939491271973 45.433855056762695 45.51918029785156 0.016846722096052907 447739.78 447284.0 448145.0 184.93991348543452 55
1080 720 48.1695273399353 48.13447952270508 48.31587791442871 0.021476526727416484 521721.66 521275.0 522102.0 193.85743318222288 65
1080 720 54.11259288787842 54.03604507446289 54.17819023132324 0.033479333860016024 618654.7 617996.0 619064.0 187.96167162482885 75
1080 720 59.70648002624512 59.63857650756836 59.797821044921875 0.04149579710050955 783530.8 782924.0 784137.0 232.9549741902928 85
1080 720 71.09220657348632 70.99668502807617 71.16786003112793 0.04683503039893595 1213785.7 1213061.0 1214557.0 279.95404980103433 95
