#cv2
#width height average min max std sizeavg sizemin sizemas sizestd  quality
640 480 17.09170608520508 16.545047760009766 17.577056884765625 0.20138165484776843 27003.89 12286.0 34719.0 5475.121907126817 75
1280 720 49.81653356552124 48.842363357543945 50.321903228759766 0.37763541577534077 60987.07 34317.0 74886.0 10071.49265328134 75
1640 922 82.37410640716553 81.07762336730957 83.02807807922363 0.476340189424375 98208.98 62699.0 116978.0 13630.924409576923 75
1640 1232 109.89673070907592 108.13743591308594 110.91629028320312 0.7750995327536319 134267.66 91631.0 157513.0 16543.46228104625 75
1920 1080 112.66487474441529 110.81374168395996 113.66940498352051 0.7849491703027777 138594.68 95630.0 162315.0 16667.570187570833 75
3280 2464 446.14234867095945 441.68956756591797 449.0667247772217 1.783482562281872 660984.67 541497.0 733143.0 47034.65030975673 75



#simplejpeg
#width height average min max std sizeavg sizemin sizemas sizestd  quality
640 480 13.873685073852538 13.261280059814453 14.175567626953125 0.22991810525396397 33700.39 16746.0 42435.0 6247.042522498146 75
1280 720 40.30692300796509 39.187612533569336 40.858964920043945 0.41981961945881985 76488.32 46430.0 92225.0 11294.26259645135 75
1640 922 66.36523714065552 64.86717224121094 67.413330078125 0.6747812053473784 121597.28 82409.0 142275.0 14928.993387418992 75
1640 1232 88.34425344467164 86.2168025970459 89.31453704833984 0.7551194967165816 163630.64 117211.0 189270.0 17982.421054196235 75
1920 1080 90.8154525756836 88.61651420593262 91.78415298461914 0.7307837619189124 169354.61 122353.0 195416.0 18239.098597735032 75
3280 2464 361.1765930175781 356.4048767089844 364.19952392578125 1.8113261792405266 763887.56 641223.0 838824.0 48433.79326448012 75


#pil
#width height average min max std sizeavg sizemin sizemas sizestd  quality
640 480 19.933421039581297 19.417524337768555 20.170774459838867 0.19217986935217965 27273.51 11915.0 35257.0 5700.062405789958 75
1280 720 57.557985496521 56.533098220825195 58.21019172668457 0.38905374495103284 61016.68 33119.0 75471.0 10531.232679871811 75
1640 922 93.71685791015625 92.2968864440918 94.41248893737793 0.48969063159075205 98059.42 61400.0 117586.0 14043.640062448196 75
1640 1232 124.59684324264526 122.9246711730957 125.88750839233398 0.6507942716416596 133982.59 90843.0 157777.0 16801.208923226328 75
1920 1080 128.1279327392578 126.37260437011719 129.46656227111816 0.668880149458467 138302.61 94291.0 162810.0 17192.131414629774 75
3280 2464 501.6602043151855 496.7373561859131 504.74452018737793 1.9775636862441832 660856.36 541012.0 733577.0 47260.4627231939 75


#turbojpeg
#width height average min max std sizeavg sizemin sizemas sizestd  quality
640 480 11.902881240844726 11.296463012695312 12.187433242797852 0.2204589446440122 29443.99 13997.0 37440.0 5719.1828148696195 75
1280 720 34.214072704315186 33.200788497924805 34.776201248168945 0.3720643226063412 66471.21 38851.0 80749.0 10403.723176147085 75
1640 922 56.32570276260376 55.196237564086914 57.11865425109863 0.47049678332980965 106552.82 69792.0 125829.0 14021.628961985838 75
1640 1232 75.4516487121582 73.14200401306152 76.57269477844238 0.8873022841776566 145569.93 101210.0 169723.0 17192.3703405057 75
1920 1080 77.0735912322998 75.06688117980957 78.095703125 0.7846071967165672 149115.53 105193.0 173379.0 17081.098041083307 75
3280 2464 310.05227146148684 305.0084972381592 313.2945728302002 1.9629977113884676 698335.41 576757.0 771769.0 47801.489878474495 75
