#cv2
#width height average min max std sizeavg sizemin sizemas sizestd  quality
640 480 23.392807483673096 23.280391693115234 24.935522079467773 0.16549586836969604 184866.5 184571.0 185130.0 126.96200218963152 75
1280 720 71.10437517166137 70.99302291870117 71.5407943725586 0.14365191532562357 553461.36 552989.0 553873.0 194.2402903622212 75
1640 922 115.72195320129394 115.65500259399414 115.80066680908203 0.03310501486037568 912810.27 912014.0 913450.0 270.58853837515 75
1640 1232 155.4281114578247 155.29179573059082 155.9608554840088 0.08636695575098868 1213832.2 1213111.0 1214813.0 316.81392014872074 75
1920 1080 159.2899733543396 159.15746688842773 159.43603515625 0.061151170646317296 1245860.56 1245078.0 1246612.0 335.6023337225175 75
3280 2464 620.0847925186157 619.3320465087891 620.5970668792725 0.3241753741046073 4848413.56 4846772.0 4849475.0 522.0396789517058 75



#simplejpeg
#width height average min max std sizeavg sizemin sizemas sizestd  quality
640 480 27.25443744659424 27.212953567504883 27.61134147644043 0.0397664636800874 385363.84 384906.0 385636.0 151.4411251939182 75
1280 720 85.47324895858765 85.38798332214355 85.57995796203613 0.04583216172394148 1154922.44 1154233.0 1155536.0 268.43268504412794 75
1640 922 138.27688913345338 138.0915355682373 138.35566520690918 0.059913852220416515 1902275.1 1901554.0 1902988.0 279.02872611973123 75
1640 1232 187.19538021087646 186.68716430664062 188.22525024414062 0.30065421859898 2531184.01 2530303.0 2532337.0 389.78764718754235 75
1920 1080 192.0312005996704 191.56381607055664 193.0277919769287 0.31611689469378523 2597744.73 2596971.0 2598766.0 435.87403811192985 75
3280 2464 753.312979221344 749.883337020874 755.1270580291748 1.3215075098187716 10122837.86 10120553.0 10125770.0 830.7290415051109 75


#pil
#width height average min max std sizeavg sizemin sizemas sizestd  quality
640 480 25.801504802703857 25.658226013183594 26.944150924682617 0.12530395567763075 184895.58 184647.0 185203.0 102.27543008953812 75
1280 720 76.26014556884766 75.24741172790527 77.82892227172852 0.6502162620139896 553427.04 553016.0 553924.0 185.88426076459515 75
1640 922 125.19885177612305 124.62140083312988 125.78597068786621 0.2867839063325382 912818.88 912129.0 913361.0 243.70315057462838 75
1640 1232 165.61088523864746 165.2669334411621 166.5792751312256 0.2007010363960491 1213789.53 1213173.0 1214440.0 265.7219018071337 75
1920 1080 170.1522276878357 169.79329109191895 170.83599090576172 0.20260406913355486 1245852.82 1245170.0 1246530.0 265.7253612284684 75
3280 2464 655.8944720268249 654.5022487640381 659.3379974365234 0.9334193965977441 4848318.35 4846322.0 4850049.0 595.2358083146544 75


#turbojpeg
#width height average min max std sizeavg sizemin sizemas sizestd  quality
640 480 20.09479923248291 20.058774948120117 20.295429229736328 0.024227657013076578 244060.67 243673.0 244506.0 134.7063513721606 75
1280 720 63.49524602890015 63.34403991699218 63.79830360412597 0.08280698264562261 730969.38 730552.0 731491.0 206.96317450213212 75
1640 922 106.11297445297241 105.8834171295166 106.66379928588867 0.14549325661306287 1206325.96 1205641.0 1207332.0 258.0351495436232 75
1640 1232 139.6133560180664 139.31635856628418 140.04201889038086 0.12701449557385663 1605008.42 1604119.0 1605897.0 343.537048365966 75
1920 1080 142.8202585220337 142.2770595550537 143.46412658691406 0.16041054611632385 1643980.42 1643026.0 1644872.0 346.1944303422573 75
3280 2464 556.0034617424011 554.7254848480225 557.6144790649414 0.6863555643116693 6405749.95 6404187.0 6407584.0 693.9544563586288 75
